,field,phenomenon,paradigm,score,metric,model,seed,step
96,syntaxsemantics,Binding,blimp_principle_A_domain_3,0.497,acc,pythia-160m-seed8,8,32
98,syntaxsemantics,Binding,blimp_principle_A_reconstruction,0.44,acc,pythia-160m-seed8,8,32
100,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_1,0.475,acc,pythia-160m-seed8,8,32
102,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_2,0.471,acc,pythia-160m-seed8,8,32
104,semantics,NPI licensing,blimp_sentential_negation_npi_licensor_present,0.399,acc,pythia-160m-seed8,8,32
106,syntaxsemantics,NPI licensing,blimp_sentential_negation_npi_scope,0.312,acc,pythia-160m-seed8,8,32
108,syntax,Island effects,blimp_sentential_subject_island,0.454,acc,pythia-160m-seed8,8,32
110,semantics,Quantifiers,blimp_superlative_quantifiers_1,0.766,acc,pythia-160m-seed8,8,32
112,semantics,Quantifiers,blimp_superlative_quantifiers_2,0.358,acc,pythia-160m-seed8,8,32
114,syntaxsemantics,Control/raising,blimp_tough_vs_raising_1,0.53,acc,pythia-160m-seed8,8,32
116,syntaxsemantics,Control/raising,blimp_tough_vs_raising_2,0.518,acc,pythia-160m-seed8,8,32
118,syntax,Argument structure,blimp_transitive,0.498,acc,pythia-160m-seed8,8,32
120,syntax,Filler gap,blimp_wh_island,0.927,acc,pythia-160m-seed8,8,32
122,syntax,Filler gap,blimp_wh_questions_object_gap,0.993,acc,pythia-160m-seed8,8,32
124,syntax,Filler gap,blimp_wh_questions_subject_gap,1.0,acc,pythia-160m-seed8,8,32
126,syntax,Filler gap,blimp_wh_questions_subject_gap_long_distance,1.0,acc,pythia-160m-seed8,8,32
128,syntax,Filler gap,blimp_wh_vs_that_no_gap,1.0,acc,pythia-160m-seed8,8,32
130,syntax,Filler gap,blimp_wh_vs_that_no_gap_long_distance,1.0,acc,pythia-160m-seed8,8,32
132,syntax,Filler gap,blimp_wh_vs_that_with_gap,0.0,acc,pythia-160m-seed8,8,32
134,syntax,Filler gap,blimp_wh_vs_that_with_gap_long_distance,0.0,acc,pythia-160m-seed8,8,32
138,syntax,Island effects,blimp_adjunct_island,0.514,acc,pythia-160m-seed8,8,16
140,morphology,Anaphor agreement,blimp_anaphor_gender_agreement,0.77,acc,pythia-160m-seed8,8,16
142,morphology,Anaphor agreement,blimp_anaphor_number_agreement,0.523,acc,pythia-160m-seed8,8,16
144,syntax,Argument structure,blimp_animate_subject_passive,0.625,acc,pythia-160m-seed8,8,16
146,syntax,Argument structure,blimp_animate_subject_trans,0.786,acc,pythia-160m-seed8,8,16
148,syntax,Argument structure,blimp_causative,0.456,acc,pythia-160m-seed8,8,16
150,syntax,Island effects,blimp_complex_NP_island,0.464,acc,pythia-160m-seed8,8,16
152,syntax,Island effects,blimp_coordinate_structure_constraint_complex_left_branch,0.498,acc,pythia-160m-seed8,8,16
154,syntax,Island effects,blimp_coordinate_structure_constraint_object_extraction,0.482,acc,pythia-160m-seed8,8,16
156,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_1,0.509,acc,pythia-160m-seed8,8,16
158,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_2,0.494,acc,pythia-160m-seed8,8,16
160,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_1,0.5,acc,pythia-160m-seed8,8,16
162,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_2,0.567,acc,pythia-160m-seed8,8,16
164,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_2,0.493,acc,pythia-160m-seed8,8,16
166,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_1,0.503,acc,pythia-160m-seed8,8,16
168,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_2,0.51,acc,pythia-160m-seed8,8,16
170,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adjective_1,0.513,acc,pythia-160m-seed8,8,16
172,morphology,Subject-Verb agreement,blimp_distractor_agreement_relational_noun,0.512,acc,pythia-160m-seed8,8,16
174,morphology,Subject-Verb agreement,blimp_distractor_agreement_relative_clause,0.488,acc,pythia-160m-seed8,8,16
176,syntax,Argument structure,blimp_drop_argument,0.647,acc,pythia-160m-seed8,8,16
178,syntax,Ellipsis,blimp_ellipsis_n_bar_1,0.549,acc,pythia-160m-seed8,8,16
180,syntax,Ellipsis,blimp_ellipsis_n_bar_2,0.348,acc,pythia-160m-seed8,8,16
182,syntaxsemantics,Control/raising,blimp_existential_there_object_raising,0.611,acc,pythia-160m-seed8,8,16
184,semantics,Quantifiers,blimp_existential_there_quantifiers_1,0.727,acc,pythia-160m-seed8,8,16
186,semantics,Quantifiers,blimp_existential_there_quantifiers_2,0.868,acc,pythia-160m-seed8,8,16
188,syntaxsemantics,Control/raising,blimp_existential_there_subject_raising,0.546,acc,pythia-160m-seed8,8,16
190,syntaxsemantics,Control/raising,blimp_expletive_it_object_raising,0.579,acc,pythia-160m-seed8,8,16
192,syntax,Argument structure,blimp_inchoative,0.447,acc,pythia-160m-seed8,8,16
194,syntax,Argument structure,blimp_intransitive,0.57,acc,pythia-160m-seed8,8,16
196,morphology,Irregular forms,blimp_irregular_past_participle_adjectives,0.805,acc,pythia-160m-seed8,8,16
198,morphology,Irregular forms,blimp_irregular_past_participle_verbs,0.378,acc,pythia-160m-seed8,8,16
200,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_1,0.46,acc,pythia-160m-seed8,8,16
202,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_2,0.475,acc,pythia-160m-seed8,8,16
204,syntax,Island effects,blimp_left_branch_island_echo_question,0.436,acc,pythia-160m-seed8,8,16
206,syntax,Island effects,blimp_left_branch_island_simple_question,0.508,acc,pythia-160m-seed8,8,16
208,semantics,NPI licensing,blimp_matrix_question_npi_licensor_present,0.024,acc,pythia-160m-seed8,8,16
210,semantics,NPI licensing,blimp_npi_present_1,0.714,acc,pythia-160m-seed8,8,16
212,semantics,NPI licensing,blimp_npi_present_2,0.71,acc,pythia-160m-seed8,8,16
214,semantics,NPI licensing,blimp_only_npi_licensor_present,0.719,acc,pythia-160m-seed8,8,16
216,syntaxsemantics,NPI licensing,blimp_only_npi_scope,0.302,acc,pythia-160m-seed8,8,16
218,syntax,Argument structure,blimp_passive_1,0.641,acc,pythia-160m-seed8,8,16
220,syntax,Argument structure,blimp_passive_2,0.645,acc,pythia-160m-seed8,8,16
222,syntaxsemantics,Binding,blimp_principle_A_c_command,0.255,acc,pythia-160m-seed8,8,16
224,syntaxsemantics,Binding,blimp_principle_A_case_1,0.524,acc,pythia-160m-seed8,8,16
226,syntaxsemantics,Binding,blimp_principle_A_case_2,0.459,acc,pythia-160m-seed8,8,16
228,syntaxsemantics,Binding,blimp_principle_A_domain_1,0.423,acc,pythia-160m-seed8,8,16
230,syntaxsemantics,Binding,blimp_principle_A_domain_2,0.474,acc,pythia-160m-seed8,8,16
232,syntaxsemantics,Binding,blimp_principle_A_domain_3,0.508,acc,pythia-160m-seed8,8,16
234,syntaxsemantics,Binding,blimp_principle_A_reconstruction,0.489,acc,pythia-160m-seed8,8,16
236,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_1,0.506,acc,pythia-160m-seed8,8,16
238,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_2,0.471,acc,pythia-160m-seed8,8,16
240,semantics,NPI licensing,blimp_sentential_negation_npi_licensor_present,0.377,acc,pythia-160m-seed8,8,16
242,syntaxsemantics,NPI licensing,blimp_sentential_negation_npi_scope,0.529,acc,pythia-160m-seed8,8,16
244,syntax,Island effects,blimp_sentential_subject_island,0.47,acc,pythia-160m-seed8,8,16
246,semantics,Quantifiers,blimp_superlative_quantifiers_1,0.983,acc,pythia-160m-seed8,8,16
248,semantics,Quantifiers,blimp_superlative_quantifiers_2,0.291,acc,pythia-160m-seed8,8,16
250,syntaxsemantics,Control/raising,blimp_tough_vs_raising_1,0.501,acc,pythia-160m-seed8,8,16
252,syntaxsemantics,Control/raising,blimp_tough_vs_raising_2,0.545,acc,pythia-160m-seed8,8,16
254,syntax,Argument structure,blimp_transitive,0.5,acc,pythia-160m-seed8,8,16
256,syntax,Filler gap,blimp_wh_island,0.616,acc,pythia-160m-seed8,8,16
258,syntax,Filler gap,blimp_wh_questions_object_gap,0.876,acc,pythia-160m-seed8,8,16
260,syntax,Filler gap,blimp_wh_questions_subject_gap,0.896,acc,pythia-160m-seed8,8,16
262,syntax,Filler gap,blimp_wh_questions_subject_gap_long_distance,0.934,acc,pythia-160m-seed8,8,16
264,syntax,Filler gap,blimp_wh_vs_that_no_gap,0.944,acc,pythia-160m-seed8,8,16
266,syntax,Filler gap,blimp_wh_vs_that_no_gap_long_distance,0.961,acc,pythia-160m-seed8,8,16
268,syntax,Filler gap,blimp_wh_vs_that_with_gap,0.051,acc,pythia-160m-seed8,8,16
270,syntax,Filler gap,blimp_wh_vs_that_with_gap_long_distance,0.045,acc,pythia-160m-seed8,8,16
274,syntax,Island effects,blimp_adjunct_island,0.86,acc,pythia-160m-seed8,8,90000
276,morphology,Anaphor agreement,blimp_anaphor_gender_agreement,0.976,acc,pythia-160m-seed8,8,90000
278,morphology,Anaphor agreement,blimp_anaphor_number_agreement,0.997,acc,pythia-160m-seed8,8,90000
280,syntax,Argument structure,blimp_animate_subject_passive,0.755,acc,pythia-160m-seed8,8,90000
282,syntax,Argument structure,blimp_animate_subject_trans,0.88,acc,pythia-160m-seed8,8,90000
284,syntax,Argument structure,blimp_causative,0.717,acc,pythia-160m-seed8,8,90000
286,syntax,Island effects,blimp_complex_NP_island,0.587,acc,pythia-160m-seed8,8,90000
288,syntax,Island effects,blimp_coordinate_structure_constraint_complex_left_branch,0.592,acc,pythia-160m-seed8,8,90000
290,syntax,Island effects,blimp_coordinate_structure_constraint_object_extraction,0.78,acc,pythia-160m-seed8,8,90000
292,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_1,0.979,acc,pythia-160m-seed8,8,90000
294,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_2,0.959,acc,pythia-160m-seed8,8,90000
296,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_1,0.878,acc,pythia-160m-seed8,8,90000
298,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_2,0.928,acc,pythia-160m-seed8,8,90000
300,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_2,0.915,acc,pythia-160m-seed8,8,90000
302,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_1,0.842,acc,pythia-160m-seed8,8,90000
304,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_2,0.877,acc,pythia-160m-seed8,8,90000
306,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adjective_1,0.941,acc,pythia-160m-seed8,8,90000
308,morphology,Subject-Verb agreement,blimp_distractor_agreement_relational_noun,0.849,acc,pythia-160m-seed8,8,90000
310,morphology,Subject-Verb agreement,blimp_distractor_agreement_relative_clause,0.723,acc,pythia-160m-seed8,8,90000
312,syntax,Argument structure,blimp_drop_argument,0.767,acc,pythia-160m-seed8,8,90000
314,syntax,Ellipsis,blimp_ellipsis_n_bar_1,0.854,acc,pythia-160m-seed8,8,90000
316,syntax,Ellipsis,blimp_ellipsis_n_bar_2,0.876,acc,pythia-160m-seed8,8,90000
318,syntaxsemantics,Control/raising,blimp_existential_there_object_raising,0.839,acc,pythia-160m-seed8,8,90000
320,semantics,Quantifiers,blimp_existential_there_quantifiers_1,0.991,acc,pythia-160m-seed8,8,90000
322,semantics,Quantifiers,blimp_existential_there_quantifiers_2,0.362,acc,pythia-160m-seed8,8,90000
324,syntaxsemantics,Control/raising,blimp_existential_there_subject_raising,0.868,acc,pythia-160m-seed8,8,90000
326,syntaxsemantics,Control/raising,blimp_expletive_it_object_raising,0.753,acc,pythia-160m-seed8,8,90000
328,syntax,Argument structure,blimp_inchoative,0.646,acc,pythia-160m-seed8,8,90000
330,syntax,Argument structure,blimp_intransitive,0.792,acc,pythia-160m-seed8,8,90000
332,morphology,Irregular forms,blimp_irregular_past_participle_adjectives,0.964,acc,pythia-160m-seed8,8,90000
334,morphology,Irregular forms,blimp_irregular_past_participle_verbs,0.91,acc,pythia-160m-seed8,8,90000
336,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_1,0.919,acc,pythia-160m-seed8,8,90000
338,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_2,0.903,acc,pythia-160m-seed8,8,90000
340,syntax,Island effects,blimp_left_branch_island_echo_question,0.386,acc,pythia-160m-seed8,8,90000
342,syntax,Island effects,blimp_left_branch_island_simple_question,0.556,acc,pythia-160m-seed8,8,90000
344,semantics,NPI licensing,blimp_matrix_question_npi_licensor_present,0.521,acc,pythia-160m-seed8,8,90000
346,semantics,NPI licensing,blimp_npi_present_1,0.568,acc,pythia-160m-seed8,8,90000
348,semantics,NPI licensing,blimp_npi_present_2,0.661,acc,pythia-160m-seed8,8,90000
350,semantics,NPI licensing,blimp_only_npi_licensor_present,0.649,acc,pythia-160m-seed8,8,90000
352,syntaxsemantics,NPI licensing,blimp_only_npi_scope,0.772,acc,pythia-160m-seed8,8,90000
354,syntax,Argument structure,blimp_passive_1,0.882,acc,pythia-160m-seed8,8,90000
356,syntax,Argument structure,blimp_passive_2,0.888,acc,pythia-160m-seed8,8,90000
358,syntaxsemantics,Binding,blimp_principle_A_c_command,0.672,acc,pythia-160m-seed8,8,90000
360,syntaxsemantics,Binding,blimp_principle_A_case_1,1.0,acc,pythia-160m-seed8,8,90000
362,syntaxsemantics,Binding,blimp_principle_A_case_2,0.966,acc,pythia-160m-seed8,8,90000
364,syntaxsemantics,Binding,blimp_principle_A_domain_1,0.968,acc,pythia-160m-seed8,8,90000
366,syntaxsemantics,Binding,blimp_principle_A_domain_2,0.799,acc,pythia-160m-seed8,8,90000
368,syntaxsemantics,Binding,blimp_principle_A_domain_3,0.639,acc,pythia-160m-seed8,8,90000
370,syntaxsemantics,Binding,blimp_principle_A_reconstruction,0.296,acc,pythia-160m-seed8,8,90000
372,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_1,0.932,acc,pythia-160m-seed8,8,90000
374,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_2,0.908,acc,pythia-160m-seed8,8,90000
376,semantics,NPI licensing,blimp_sentential_negation_npi_licensor_present,0.969,acc,pythia-160m-seed8,8,90000
378,syntaxsemantics,NPI licensing,blimp_sentential_negation_npi_scope,0.681,acc,pythia-160m-seed8,8,90000
380,syntax,Island effects,blimp_sentential_subject_island,0.35,acc,pythia-160m-seed8,8,90000
382,semantics,Quantifiers,blimp_superlative_quantifiers_1,0.758,acc,pythia-160m-seed8,8,90000
384,semantics,Quantifiers,blimp_superlative_quantifiers_2,0.758,acc,pythia-160m-seed8,8,90000
386,syntaxsemantics,Control/raising,blimp_tough_vs_raising_1,0.616,acc,pythia-160m-seed8,8,90000
388,syntaxsemantics,Control/raising,blimp_tough_vs_raising_2,0.895,acc,pythia-160m-seed8,8,90000
390,syntax,Argument structure,blimp_transitive,0.877,acc,pythia-160m-seed8,8,90000
392,syntax,Filler gap,blimp_wh_island,0.732,acc,pythia-160m-seed8,8,90000
394,syntax,Filler gap,blimp_wh_questions_object_gap,0.783,acc,pythia-160m-seed8,8,90000
396,syntax,Filler gap,blimp_wh_questions_subject_gap,0.913,acc,pythia-160m-seed8,8,90000
398,syntax,Filler gap,blimp_wh_questions_subject_gap_long_distance,0.882,acc,pythia-160m-seed8,8,90000
400,syntax,Filler gap,blimp_wh_vs_that_no_gap,0.969,acc,pythia-160m-seed8,8,90000
402,syntax,Filler gap,blimp_wh_vs_that_no_gap_long_distance,0.958,acc,pythia-160m-seed8,8,90000
404,syntax,Filler gap,blimp_wh_vs_that_with_gap,0.592,acc,pythia-160m-seed8,8,90000
406,syntax,Filler gap,blimp_wh_vs_that_with_gap_long_distance,0.322,acc,pythia-160m-seed8,8,90000
410,syntax,Island effects,blimp_adjunct_island,0.825,acc,pythia-160m-seed8,8,80000
412,morphology,Anaphor agreement,blimp_anaphor_gender_agreement,0.984,acc,pythia-160m-seed8,8,80000
414,morphology,Anaphor agreement,blimp_anaphor_number_agreement,0.995,acc,pythia-160m-seed8,8,80000
416,syntax,Argument structure,blimp_animate_subject_passive,0.779,acc,pythia-160m-seed8,8,80000
418,syntax,Argument structure,blimp_animate_subject_trans,0.887,acc,pythia-160m-seed8,8,80000
420,syntax,Argument structure,blimp_causative,0.715,acc,pythia-160m-seed8,8,80000
422,syntax,Island effects,blimp_complex_NP_island,0.555,acc,pythia-160m-seed8,8,80000
424,syntax,Island effects,blimp_coordinate_structure_constraint_complex_left_branch,0.643,acc,pythia-160m-seed8,8,80000
426,syntax,Island effects,blimp_coordinate_structure_constraint_object_extraction,0.796,acc,pythia-160m-seed8,8,80000
428,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_1,0.983,acc,pythia-160m-seed8,8,80000
430,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_2,0.97,acc,pythia-160m-seed8,8,80000
432,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_1,0.877,acc,pythia-160m-seed8,8,80000
434,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_irregular_2,0.933,acc,pythia-160m-seed8,8,80000
436,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_2,0.928,acc,pythia-160m-seed8,8,80000
438,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_1,0.819,acc,pythia-160m-seed8,8,80000
440,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adj_irregular_2,0.895,acc,pythia-160m-seed8,8,80000
442,morphology,Determiner-Noun agreement,blimp_determiner_noun_agreement_with_adjective_1,0.935,acc,pythia-160m-seed8,8,80000
444,morphology,Subject-Verb agreement,blimp_distractor_agreement_relational_noun,0.853,acc,pythia-160m-seed8,8,80000
446,morphology,Subject-Verb agreement,blimp_distractor_agreement_relative_clause,0.725,acc,pythia-160m-seed8,8,80000
448,syntax,Argument structure,blimp_drop_argument,0.774,acc,pythia-160m-seed8,8,80000
450,syntax,Ellipsis,blimp_ellipsis_n_bar_1,0.862,acc,pythia-160m-seed8,8,80000
452,syntax,Ellipsis,blimp_ellipsis_n_bar_2,0.874,acc,pythia-160m-seed8,8,80000
454,syntaxsemantics,Control/raising,blimp_existential_there_object_raising,0.858,acc,pythia-160m-seed8,8,80000
456,semantics,Quantifiers,blimp_existential_there_quantifiers_1,0.985,acc,pythia-160m-seed8,8,80000
458,semantics,Quantifiers,blimp_existential_there_quantifiers_2,0.181,acc,pythia-160m-seed8,8,80000
460,syntaxsemantics,Control/raising,blimp_existential_there_subject_raising,0.897,acc,pythia-160m-seed8,8,80000
462,syntaxsemantics,Control/raising,blimp_expletive_it_object_raising,0.767,acc,pythia-160m-seed8,8,80000
464,syntax,Argument structure,blimp_inchoative,0.63,acc,pythia-160m-seed8,8,80000
466,syntax,Argument structure,blimp_intransitive,0.773,acc,pythia-160m-seed8,8,80000
468,morphology,Irregular forms,blimp_irregular_past_participle_adjectives,0.993,acc,pythia-160m-seed8,8,80000
470,morphology,Irregular forms,blimp_irregular_past_participle_verbs,0.9,acc,pythia-160m-seed8,8,80000
472,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_1,0.911,acc,pythia-160m-seed8,8,80000
474,morphology,Irregular forms,blimp_irregular_plural_subject_verb_agreement_2,0.929,acc,pythia-160m-seed8,8,80000
476,syntax,Island effects,blimp_left_branch_island_echo_question,0.351,acc,pythia-160m-seed8,8,80000
478,syntax,Island effects,blimp_left_branch_island_simple_question,0.617,acc,pythia-160m-seed8,8,80000
480,semantics,NPI licensing,blimp_matrix_question_npi_licensor_present,0.52,acc,pythia-160m-seed8,8,80000
482,semantics,NPI licensing,blimp_npi_present_1,0.558,acc,pythia-160m-seed8,8,80000
484,semantics,NPI licensing,blimp_npi_present_2,0.595,acc,pythia-160m-seed8,8,80000
486,semantics,NPI licensing,blimp_only_npi_licensor_present,0.884,acc,pythia-160m-seed8,8,80000
488,syntaxsemantics,NPI licensing,blimp_only_npi_scope,0.836,acc,pythia-160m-seed8,8,80000
490,syntax,Argument structure,blimp_passive_1,0.891,acc,pythia-160m-seed8,8,80000
492,syntax,Argument structure,blimp_passive_2,0.878,acc,pythia-160m-seed8,8,80000
494,syntaxsemantics,Binding,blimp_principle_A_c_command,0.672,acc,pythia-160m-seed8,8,80000
496,syntaxsemantics,Binding,blimp_principle_A_case_1,1.0,acc,pythia-160m-seed8,8,80000
498,syntaxsemantics,Binding,blimp_principle_A_case_2,0.959,acc,pythia-160m-seed8,8,80000
500,syntaxsemantics,Binding,blimp_principle_A_domain_1,0.968,acc,pythia-160m-seed8,8,80000
502,syntaxsemantics,Binding,blimp_principle_A_domain_2,0.799,acc,pythia-160m-seed8,8,80000
504,syntaxsemantics,Binding,blimp_principle_A_domain_3,0.662,acc,pythia-160m-seed8,8,80000
506,syntaxsemantics,Binding,blimp_principle_A_reconstruction,0.329,acc,pythia-160m-seed8,8,80000
508,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_1,0.942,acc,pythia-160m-seed8,8,80000
510,morphology,Subject-Verb agreement,blimp_regular_plural_subject_verb_agreement_2,0.928,acc,pythia-160m-seed8,8,80000
512,semantics,NPI licensing,blimp_sentential_negation_npi_licensor_present,0.971,acc,pythia-160m-seed8,8,80000
514,syntaxsemantics,NPI licensing,blimp_sentential_negation_npi_scope,0.629,acc,pythia-160m-seed8,8,80000
516,syntax,Island effects,blimp_sentential_subject_island,0.377,acc,pythia-160m-seed8,8,80000
518,semantics,Quantifiers,blimp_superlative_quantifiers_1,0.845,acc,pythia-160m-seed8,8,80000
520,semantics,Quantifiers,blimp_superlative_quantifiers_2,0.719,acc,pythia-160m-seed8,8,80000
522,syntaxsemantics,Control/raising,blimp_tough_vs_raising_1,0.642,acc,pythia-160m-seed8,8,80000
524,syntaxsemantics,Control/raising,blimp_tough_vs_raising_2,0.9,acc,pythia-160m-seed8,8,80000
526,syntax,Argument structure,blimp_transitive,0.858,acc,pythia-160m-seed8,8,80000
528,syntax,Filler gap,blimp_wh_island,0.698,acc,pythia-160m-seed8,8,80000
530,syntax,Filler gap,blimp_wh_questions_object_gap,0.8,acc,pythia-160m-seed8,8,80000
532,syntax,Filler gap,blimp_wh_questions_subject_gap,0.932,acc,pythia-160m-seed8,8,80000
534,syntax,Filler gap,blimp_wh_questions_subject_gap_long_distance,0.891,acc,pythia-160m-seed8,8,80000
